HTTrack3.49-2+htsswf+htsjava launched on Sat, 12 May 2018 19:00:54 at www.iyte.edu.tr/ -ad.doubleclick.net/* -mime:application/foobar +*[name].*[name]www.iyte.edu.tr/*[name].*[name]/*
(winhttrack -qwC2%P%s%uN101%Ip1dc8H0%kf2A2500000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "tr, *" www.iyte.edu.tr/ -O1 "C:\Benim Web Sitem\iyt\iyt" -ad.doubleclick.net/* -mime:application/foobar +*[name].*[name]www.iyte.edu.tr/*[name].*[name]/* )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

19:00:54	Warning: 	* security warning: maximum bandwidth limited to 250000 to avoid server overload
19:00:54	Warning: 	Note: due to www.iyte.edu.tr remote robots.txt rules, links beginning with these path will be forbidden: /yenikayit/, /Files/, /Bin/, /aday/, /App_Data/, /App_Code/ (see in the options to disable this)
19:02:22	Warning: 	Redirect for obs.iyte.edu.tr/robots.txt
19:02:22	Warning: 	Redirected link is identical because of 'URL Hack' option: obs.iyte.edu.tr/robots.txt and https://obs.iyte.edu.tr/robots.txt
19:02:22	Warning: 	Warning moved treated for obs.iyte.edu.tr/robots.txt (real one is https://obs.iyte.edu.tr/robots.txt)
19:02:22	Warning: 	Redirect for obs.iyte.edu.tr/
19:02:22	Warning: 	Redirected link is identical because of 'URL Hack' option: obs.iyte.edu.tr/ and https://obs.iyte.edu.tr/
19:02:22	Warning: 	File has moved from obs.iyte.edu.tr/ to https://obs.iyte.edu.tr/
19:04:37	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 108353 expected)) at link www.iyte.edu.tr/Image.ashx?f=Duyurular\\0\\2018_05_08\\2.jpg (from www.iyte.edu.tr/)
19:04:38	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 37681 expected)) at link www.iyte.edu.tr/Image.ashx?f=Duyurular\\0\\2018_04_02\\1.jpg (from www.iyte.edu.tr/)
19:04:38	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 48942 expected)) at link www.iyte.edu.tr/Image.ashx?f=Duyurular\\0\\2018_05_07\\3.jpg (from www.iyte.edu.tr/)
19:04:41	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 7969 expected)) at link www.iyte.edu.tr/Image.ashx?f=Duyurular\\0\\2018_05_12\\1.jpg (from www.iyte.edu.tr/)
19:04:41	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 47689 expected)) at link www.iyte.edu.tr/Image.ashx?f=Duyurular\\0\\2018_05_10\\2.jpg (from www.iyte.edu.tr/)
19:04:41	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 41766 expected)) at link www.iyte.edu.tr/Image.ashx?f=Duyurular\\0\\2018_05_10\\1.jpg (from www.iyte.edu.tr/)
19:04:45	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 40306 expected)) at link www.iyte.edu.tr/rss.aspx (from www.iyte.edu.tr/)
19:04:46	Error: 	"Not Found" (404) at link uio.iyte.edu.tr/main.jsp?pageName=diploma_eki.htm (from www.iyte.edu.tr/)
19:04:47	Error: 	"Not Found" (404) at link web.iyte.edu.tr/xxx (from www.iyte.edu.tr/)
19:04:48	Error: 	"Not Found" (404) at link web.iyte.edu.tr/POST (from www.iyte.edu.tr/WebResource.axd?d=mJWXZ2U0QL7ZfygRsgwaMYYGVZ5X3Tz21INIeJWkuO-NYcNdml_NkScbzr5nOgLBMFLSy854YTFLssFOvTtqrKcUUn7vvQ0J7w13stSPCuQ1&t=636426768960000000)
19:04:48	Warning: 	Found for www.iyte.edu.tr/Firefox/
19:04:48	Warning: 	File has moved from www.iyte.edu.tr/Firefox/ to http://web.iyte.edu.tr/Firefox/
19:04:48	Warning: 	Found for www.iyte.edu.tr/AppleWebKit/
19:04:48	Warning: 	File has moved from www.iyte.edu.tr/AppleWebKit/ to http://web.iyte.edu.tr/AppleWebKit/
19:04:48	Warning: 	Found for www.iyte.edu.tr/Opera/
19:04:48	Warning: 	File has moved from www.iyte.edu.tr/Opera/ to http://web.iyte.edu.tr/Opera/
19:04:48	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 85537 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\default.jpg (from www.iyte.edu.tr/Liste.aspx)
19:06:07	Warning: 	File not parsed, looks like binary: libguides.iyte.edu.tr/robots.txt
19:08:05	Warning: 	Note: due to openaccess.iyte.edu.tr remote robots.txt rules, links beginning with these path will be forbidden: / (see in the options to disable this)
19:34:27	Warning: 	Retry after error 500 (Internal Server Error) at link library.iyte.edu.tr/tr/rss (from library.iyte.edu.tr/)
19:34:27	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 138014 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\200.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=60)
19:34:33	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\740.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=60)
19:34:33	Error: 	"OK" (-1) at link bhib.iyte.edu.tr/wp-json/ (from bhib.iyte.edu.tr/)
19:34:33	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 830 expected)) at link bhib.iyte.edu.tr/xmlrpc.php?rsd (from bhib.iyte.edu.tr/)
19:35:10	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 63433 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\75.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=77)
19:35:10	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 59614 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\370.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=77)
19:35:10	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 166413 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\76.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=44)
19:35:10	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\652.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=44)
19:35:10	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 85537 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\77.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=46)
19:35:10	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\689.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=46)
19:35:10	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 60249 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\78.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=92)
19:35:10	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\728.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=92)
19:35:10	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 228052 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\413.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=75)
19:35:12	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\744.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=75)
19:35:12	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 85537 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\424.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=23038)
19:35:12	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\808.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=23038)
19:35:12	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 85537 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\419.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=12910)
19:35:12	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\797.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=12910)
19:35:12	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 166416 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\80.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=76)
19:35:14	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): icdenetim.iyte.edu.tr/wp-admin/admin-ajax.php?action=wordfence_logHuman&hid=256C6DC824EF7B4AC95D59FD2A1297E2
19:35:16	Warning: 	Note: due to bidb.iyte.edu.tr remote robots.txt rules, links beginning with these path will be forbidden: /wp-admin/ (see in the options to disable this)
19:35:33	Warning: 	Note: due to hukuk.iyte.edu.tr remote robots.txt rules, links beginning with these path will be forbidden: /wp-admin/ (see in the options to disable this)
19:35:39	Warning: 	Note: due to imid.iyte.edu.tr remote robots.txt rules, links beginning with these path will be forbidden: /wp-admin/, /wp-includes/ (see in the options to disable this)
19:35:41	Warning: 	Note: due to ogrenciisleri.iyte.edu.tr remote robots.txt rules, links beginning with these path will be forbidden: /wp-admin/, /wp-includes/ (see in the options to disable this)
19:35:46	Warning: 	Note: due to personel.iyte.edu.tr remote robots.txt rules, links beginning with these path will be forbidden: /wp-admin/ (see in the options to disable this)
19:35:48	Warning: 	Note: due to sks.iyte.edu.tr remote robots.txt rules, links beginning with these path will be forbidden: /wp-admin/ (see in the options to disable this)
19:36:05	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): strateji.iyte.edu.tr/wp-admin/admin-ajax.php?action=wordfence_logHuman&hid=05E0B9B378DD63F711BA7591B2A019A4
19:36:26	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\658.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=76)
19:36:26	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 85537 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\81.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=78)
19:36:27	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\644.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=78)
19:36:27	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 85537 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\421.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=23009)
19:36:28	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 55021 expected)) at link strateji.iyte.edu.tr/wp-content/uploads/2017/11/Mimarlık-Fakültesi-2016-Yılı-İç-Değerlendirme-Raporu.docx (from www.iyte.edu.tr/AltSayfa.aspx?m=23009)
19:36:28	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 59852 expected)) at link strateji.iyte.edu.tr/wp-content/uploads/2017/11/Fen-Fakültesi-2016-Yılı-İç-Değerlendirme-Raporru.docx (from www.iyte.edu.tr/AltSayfa.aspx?m=23009)
19:36:28	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 33231 expected)) at link strateji.iyte.edu.tr/wp-content/uploads/2017/11/Mühendislik-ve-Fen-Bilimleri-Enstitüsü-2016-Yılı-İç-Değerlendirme-Raporu.docx (from www.iyte.edu.tr/AltSayfa.aspx?m=23009)
19:36:29	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 44157 expected)) at link strateji.iyte.edu.tr/wp-content/uploads/2017/11/Yabancı-Diller-Yüksekokulu-2016-Yılı-İç-Değerlendirme-Raporu.docx (from www.iyte.edu.tr/AltSayfa.aspx?m=23009)
